,time,volume,mid_o,mid_h,mid_l,mid_c,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c
0,2021-09-16T15:00:00.000000000Z,4166,1.17628,1.17670,1.17554,1.17634,1.17621,1.17663,1.17547,1.17626,1.17635,1.17678,1.17561,1.17641
1,2021-09-16T16:00:00.000000000Z,2162,1.17632,1.17644,1.17584,1.17596,1.17624,1.17638,1.17578,1.17590,1.17640,1.17651,1.17590,1.17603
2,2021-09-16T17:00:00.000000000Z,1741,1.17598,1.17615,1.17538,1.17556,1.17591,1.17609,1.17532,1.17550,1.17605,1.17622,1.17544,1.17563
3,2021-09-16T18:00:00.000000000Z,1683,1.17558,1.17572,1.17537,1.17540,1.17551,1.17566,1.17530,1.17533,1.17565,1.17579,1.17543,1.17547
4,2021-09-16T19:00:00.000000000Z,4454,1.17541,1.17716,1.17534,1.17690,1.17534,1.17708,1.17527,1.17684,1.17548,1.17723,1.17541,1.17697
5,2021-09-16T20:00:00.000000000Z,1403,1.17689,1.17714,1.17665,1.17688,1.17682,1.17707,1.17657,1.17681,1.17696,1.17721,1.17673,1.17695
6,2021-09-16T21:00:00.000000000Z,78,1.17678,1.17696,1.17633,1.17672,1.17656,1.17683,1.17583,1.17639,1.17699,1.17726,1.17683,1.17704
7,2021-09-16T22:00:00.000000000Z,646,1.17668,1.17691,1.17641,1.17656,1.17632,1.17680,1.17632,1.17648,1.17703,1.17730,1.17648,1.17663
8,2021-09-16T23:00:00.000000000Z,565,1.17657,1.17660,1.17644,1.17650,1.17650,1.17653,1.17637,1.17643,1.17664,1.17668,1.17650,1.17658
9,2021-09-17T00:00:00.000000000Z,1554,1.17650,1.17656,1.17592,1.17598,1.17643,1.17649,1.17584,1.17592,1.17656,1.17663,1.17599,1.17605
10,2021-09-17T01:00:00.000000000Z,1521,1.17600,1.17674,1.17588,1.17606,1.17593,1.17667,1.17581,1.17599,1.17607,1.17681,1.17594,1.17614
11,2021-09-17T02:00:00.000000000Z,1195,1.17604,1.17684,1.17602,1.17673,1.17598,1.17676,1.17595,1.17665,1.17611,1.17692,1.17610,1.17681
12,2021-09-17T03:00:00.000000000Z,810,1.17674,1.17702,1.17662,1.17690,1.17667,1.17695,1.17655,1.17683,1.17681,1.17710,1.17670,1.17697
13,2021-09-17T04:00:00.000000000Z,668,1.17689,1.17736,1.17688,1.17734,1.17682,1.17729,1.17680,1.17727,1.17696,1.17743,1.17695,1.17740
14,2021-09-17T05:00:00.000000000Z,1129,1.17734,1.17745,1.17679,1.17706,1.17728,1.17738,1.17671,1.17699,1.17741,1.17752,1.17686,1.17712
15,2021-09-17T06:00:00.000000000Z,3048,1.17704,1.17750,1.17688,1.17724,1.17697,1.17743,1.17681,1.17717,1.17711,1.17757,1.17695,1.17730
16,2021-09-17T07:00:00.000000000Z,4822,1.17722,1.17850,1.17716,1.17731,1.17716,1.17844,1.17709,1.17724,1.17729,1.17857,1.17722,1.17738
17,2021-09-17T08:00:00.000000000Z,4443,1.17730,1.17832,1.17684,1.17772,1.17723,1.17826,1.17677,1.17766,1.17737,1.17838,1.17690,1.17779
18,2021-09-17T09:00:00.000000000Z,6438,1.17774,1.17878,1.17740,1.17822,1.17768,1.17871,1.17734,1.17815,1.17780,1.17895,1.17746,1.17828
19,2021-09-17T10:00:00.000000000Z,4206,1.17820,1.17860,1.17787,1.17828,1.17814,1.17855,1.17781,1.17822,1.17827,1.17868,1.17793,1.17835
20,2021-09-17T11:00:00.000000000Z,4043,1.17827,1.17886,1.17758,1.17884,1.17821,1.17880,1.17750,1.17877,1.17833,1.17892,1.17764,1.17891
21,2021-09-17T12:00:00.000000000Z,5153,1.17886,1.17890,1.17727,1.17738,1.17879,1.17883,1.17720,1.17731,1.17892,1.17897,1.17734,1.17744
22,2021-09-17T13:00:00.000000000Z,8082,1.17736,1.17750,1.17506,1.17538,1.17730,1.17744,1.17499,1.17531,1.17743,1.17757,1.17512,1.17546
23,2021-09-17T14:00:00.000000000Z,8768,1.17537,1.17572,1.17344,1.17379,1.17529,1.17566,1.17337,1.17372,1.17545,1.17579,1.17350,1.17386
24,2021-09-17T15:00:00.000000000Z,6043,1.17378,1.17406,1.17288,1.17336,1.17371,1.17399,1.17281,1.17330,1.17384,1.17413,1.17295,1.17343
25,2021-09-17T16:00:00.000000000Z,2616,1.17338,1.17368,1.17247,1.17256,1.17331,1.17362,1.17240,1.17250,1.17344,1.17375,1.17254,1.17263
26,2021-09-17T17:00:00.000000000Z,2050,1.17258,1.17322,1.17246,1.17270,1.17252,1.17314,1.17239,1.17262,1.17264,1.17329,1.17252,1.17277
27,2021-09-17T18:00:00.000000000Z,1882,1.17271,1.17302,1.17254,1.17293,1.17264,1.17296,1.17248,1.17286,1.17278,1.17309,1.17261,1.17300
28,2021-09-17T19:00:00.000000000Z,1522,1.17292,1.17324,1.17290,1.17306,1.17285,1.17317,1.17282,1.17299,1.17298,1.17331,1.17297,1.17313
29,2021-09-17T20:00:00.000000000Z,1105,1.17304,1.17312,1.17243,1.17243,1.17297,1.17306,1.17223,1.17233,1.17312,1.17319,1.17253,1.17253
30,2021-09-19T21:00:00.000000000Z,62,1.17319,1.17320,1.17263,1.17284,1.17277,1.17291,1.17223,1.17234,1.17361,1.17368,1.17299,1.17334
31,2021-09-19T22:00:00.000000000Z,561,1.17278,1.17298,1.17233,1.17270,1.17247,1.17280,1.17217,1.17263,1.17309,1.17342,1.17241,1.17277
32,2021-09-19T23:00:00.000000000Z,389,1.17272,1.17296,1.17262,1.17296,1.17265,1.17288,1.17254,1.17288,1.17279,1.17304,1.17270,1.17303
33,2021-09-20T00:00:00.000000000Z,547,1.17294,1.17298,1.17228,1.17236,1.17287,1.17291,1.17221,1.17229,1.17301,1.17306,1.17236,1.17244
34,2021-09-20T01:00:00.000000000Z,710,1.17238,1.17240,1.17183,1.17186,1.17231,1.17232,1.17176,1.17179,1.17245,1.17247,1.17190,1.17192
35,2021-09-20T02:00:00.000000000Z,2284,1.17184,1.17191,1.17105,1.17124,1.17178,1.17184,1.17098,1.17117,1.17191,1.17198,1.17112,1.17130
36,2021-09-20T03:00:00.000000000Z,1037,1.17122,1.17152,1.17097,1.17108,1.17116,1.17145,1.17089,1.17101,1.17129,1.17158,1.17105,1.17115
37,2021-09-20T04:00:00.000000000Z,636,1.17106,1.17158,1.17101,1.17151,1.17101,1.17151,1.17094,1.17144,1.17112,1.17165,1.17108,1.17158
38,2021-09-20T05:00:00.000000000Z,834,1.17150,1.17180,1.17134,1.17172,1.17143,1.17174,1.17126,1.17165,1.17157,1.17187,1.17141,1.17179
39,2021-09-20T06:00:00.000000000Z,3240,1.17171,1.17180,1.17112,1.17147,1.17164,1.17173,1.17105,1.17140,1.17178,1.17188,1.17118,1.17154
40,2021-09-20T07:00:00.000000000Z,5837,1.17146,1.17184,1.17060,1.17110,1.17139,1.17178,1.17053,1.17104,1.17153,1.17191,1.17066,1.17116
41,2021-09-20T08:00:00.000000000Z,4399,1.17109,1.17137,1.17051,1.17096,1.17102,1.17131,1.17043,1.17089,1.17116,1.17144,1.17058,1.17103
42,2021-09-20T09:00:00.000000000Z,3871,1.17098,1.17100,1.17002,1.17066,1.17091,1.17094,1.16996,1.17059,1.17104,1.17107,1.17008,1.17072
43,2021-09-20T10:00:00.000000000Z,3561,1.17066,1.17164,1.17062,1.17128,1.17060,1.17158,1.17055,1.17121,1.17073,1.17171,1.17070,1.17136
44,2021-09-20T11:00:00.000000000Z,3868,1.17128,1.17136,1.17033,1.17055,1.17121,1.17130,1.17028,1.17049,1.17134,1.17143,1.17038,1.17061
45,2021-09-20T12:00:00.000000000Z,6524,1.17054,1.17171,1.17052,1.17145,1.17048,1.17164,1.17046,1.17138,1.17060,1.17178,1.17059,1.17152
46,2021-09-20T13:00:00.000000000Z,7007,1.17144,1.17185,1.17115,1.17184,1.17137,1.17179,1.17109,1.17177,1.17151,1.17192,1.17121,1.17191
47,2021-09-20T14:00:00.000000000Z,7018,1.17183,1.17304,1.17129,1.17240,1.17176,1.17297,1.17122,1.17234,1.17190,1.17311,1.17136,1.17247
48,2021-09-20T15:00:00.000000000Z,4532,1.17242,1.17365,1.17237,1.17284,1.17235,1.17359,1.17231,1.17278,1.17248,1.17372,1.17243,1.17291
49,2021-09-20T16:00:00.000000000Z,3276,1.17286,1.17343,1.17222,1.17224,1.17279,1.17337,1.17214,1.17218,1.17292,1.17350,1.17228,1.17231
50,2021-09-20T17:00:00.000000000Z,2398,1.17226,1.17312,1.17222,1.17258,1.17219,1.17306,1.17215,1.17252,1.17233,1.17319,1.17228,1.17265
51,2021-09-20T18:00:00.000000000Z,2494,1.17260,1.17282,1.17226,1.17244,1.17253,1.17276,1.17220,1.17238,1.17266,1.17289,1.17233,1.17249
52,2021-09-20T19:00:00.000000000Z,2543,1.17246,1.17306,1.17222,1.17300,1.17239,1.17299,1.17216,1.17294,1.17252,1.17313,1.17229,1.17307
53,2021-09-20T20:00:00.000000000Z,797,1.17302,1.17305,1.17253,1.17267,1.17295,1.17299,1.17246,1.17260,1.17310,1.17312,1.17260,1.17274
54,2021-09-20T21:00:00.000000000Z,149,1.17260,1.17319,1.17260,1.17273,1.17225,1.17277,1.17216,1.17243,1.17296,1.17369,1.17284,1.17303
55,2021-09-20T22:00:00.000000000Z,390,1.17279,1.17304,1.17274,1.17279,1.17239,1.17289,1.17232,1.17272,1.17319,1.17326,1.17285,1.17286
56,2021-09-20T23:00:00.000000000Z,640,1.17280,1.17287,1.17252,1.17270,1.17273,1.17279,1.17245,1.17263,1.17288,1.17295,1.17259,1.17277
57,2021-09-21T00:00:00.000000000Z,1317,1.17269,1.17306,1.17250,1.17256,1.17262,1.17299,1.17242,1.17249,1.17276,1.17314,1.17258,1.17264
58,2021-09-21T01:00:00.000000000Z,2054,1.17255,1.17395,1.17234,1.17390,1.17248,1.17387,1.17227,1.17383,1.17262,1.17403,1.17241,1.17396
59,2021-09-21T02:00:00.000000000Z,1021,1.17388,1.17402,1.17322,1.17324,1.17380,1.17394,1.17316,1.17317,1.17395,1.17409,1.17329,1.17330
60,2021-09-21T03:00:00.000000000Z,1068,1.17322,1.17327,1.17296,1.17320,1.17315,1.17320,1.17289,1.17313,1.17329,1.17334,1.17304,1.17326
61,2021-09-21T04:00:00.000000000Z,750,1.17318,1.17350,1.17298,1.17318,1.17312,1.17343,1.17291,1.17311,1.17325,1.17357,1.17305,1.17324
62,2021-09-21T05:00:00.000000000Z,953,1.17319,1.17360,1.17315,1.17337,1.17312,1.17352,1.17308,1.17330,1.17326,1.17368,1.17322,1.17344
63,2021-09-21T06:00:00.000000000Z,3480,1.17336,1.17376,1.17295,1.17314,1.17329,1.17369,1.17287,1.17308,1.17343,1.17382,1.17303,1.17320
64,2021-09-21T07:00:00.000000000Z,5523,1.17313,1.17344,1.17184,1.17270,1.17307,1.17337,1.17177,1.17263,1.17319,1.17351,1.17190,1.17277
65,2021-09-21T08:00:00.000000000Z,4851,1.17268,1.17370,1.17228,1.17341,1.17262,1.17363,1.17222,1.17335,1.17275,1.17378,1.17235,1.17347
66,2021-09-21T09:00:00.000000000Z,3851,1.17342,1.17382,1.17300,1.17371,1.17336,1.17375,1.17293,1.17364,1.17349,1.17388,1.17306,1.17378
67,2021-09-21T10:00:00.000000000Z,3057,1.17372,1.17389,1.17321,1.17357,1.17366,1.17382,1.17314,1.17351,1.17379,1.17396,1.17328,1.17363
68,2021-09-21T11:00:00.000000000Z,3309,1.17358,1.17459,1.17334,1.17445,1.17351,1.17453,1.17326,1.17439,1.17365,1.17465,1.17341,1.17451
69,2021-09-21T12:00:00.000000000Z,8155,1.17446,1.17487,1.17336,1.17396,1.17440,1.17480,1.17329,1.17390,1.17452,1.17494,1.17343,1.17403
70,2021-09-21T13:00:00.000000000Z,7843,1.17398,1.17418,1.17280,1.17307,1.17391,1.17412,1.17273,1.17300,1.17404,1.17425,1.17287,1.17314
71,2021-09-21T14:00:00.000000000Z,8277,1.17308,1.17316,1.17168,1.17244,1.17301,1.17309,1.17160,1.17238,1.17315,1.17322,1.17175,1.17251
72,2021-09-21T15:00:00.000000000Z,5179,1.17246,1.17262,1.17148,1.17244,1.17240,1.17255,1.17142,1.17238,1.17252,1.17269,1.17154,1.17251
73,2021-09-21T16:00:00.000000000Z,2992,1.17246,1.17294,1.17226,1.17286,1.17239,1.17287,1.17218,1.17279,1.17253,1.17300,1.17233,1.17292
74,2021-09-21T17:00:00.000000000Z,3301,1.17284,1.17298,1.17188,1.17262,1.17278,1.17292,1.17181,1.17255,1.17291,1.17305,1.17194,1.17268
75,2021-09-21T18:00:00.000000000Z,2890,1.17262,1.17310,1.17251,1.17262,1.17256,1.17304,1.17244,1.17255,1.17269,1.17317,1.17258,1.17269
76,2021-09-21T19:00:00.000000000Z,2236,1.17264,1.17324,1.17250,1.17294,1.17258,1.17318,1.17243,1.17286,1.17270,1.17332,1.17257,1.17301
77,2021-09-21T20:00:00.000000000Z,996,1.17292,1.17294,1.17238,1.17255,1.17284,1.17287,1.17230,1.17246,1.17299,1.17303,1.17245,1.17264
78,2021-09-21T21:00:00.000000000Z,53,1.17256,1.17292,1.17256,1.17266,1.17246,1.17267,1.17211,1.17241,1.17265,1.17332,1.17265,1.17292
79,2021-09-21T22:00:00.000000000Z,292,1.17260,1.17279,1.17242,1.17244,1.17233,1.17270,1.17233,1.17236,1.17287,1.17293,1.17251,1.17251
80,2021-09-21T23:00:00.000000000Z,342,1.17246,1.17246,1.17220,1.17229,1.17238,1.17238,1.17213,1.17221,1.17253,1.17253,1.17227,1.17237
81,2021-09-22T00:00:00.000000000Z,1096,1.17230,1.17250,1.17169,1.17196,1.17223,1.17243,1.17161,1.17189,1.17237,1.17258,1.17177,1.17203
82,2021-09-22T01:00:00.000000000Z,4005,1.17194,1.17306,1.17166,1.17280,1.17188,1.17300,1.17159,1.17271,1.17201,1.17313,1.17173,1.17288
83,2021-09-22T02:00:00.000000000Z,977,1.17278,1.17282,1.17239,1.17250,1.17270,1.17275,1.17232,1.17243,1.17286,1.17289,1.17246,1.17256
84,2021-09-22T03:00:00.000000000Z,749,1.17252,1.17252,1.17190,1.17200,1.17244,1.17244,1.17183,1.17192,1.17259,1.17259,1.17197,1.17207
85,2021-09-22T04:00:00.000000000Z,768,1.17198,1.17236,1.17168,1.17219,1.17191,1.17230,1.17161,1.17212,1.17205,1.17243,1.17175,1.17226
86,2021-09-22T05:00:00.000000000Z,1051,1.17218,1.17262,1.17215,1.17226,1.17210,1.17256,1.17207,1.17219,1.17225,1.17269,1.17223,1.17234
87,2021-09-22T06:00:00.000000000Z,3394,1.17224,1.17286,1.17170,1.17278,1.17217,1.17280,1.17163,1.17271,1.17232,1.17293,1.17176,1.17285
88,2021-09-22T07:00:00.000000000Z,5589,1.17276,1.17376,1.17237,1.17287,1.17270,1.17370,1.17230,1.17280,1.17283,1.17383,1.17244,1.17294
89,2021-09-22T08:00:00.000000000Z,3741,1.17286,1.17348,1.17240,1.17342,1.17280,1.17342,1.17233,1.17337,1.17292,1.17355,1.17247,1.17348
90,2021-09-22T09:00:00.000000000Z,3068,1.17344,1.17370,1.17284,1.17286,1.17338,1.17364,1.17278,1.17279,1.17349,1.17377,1.17291,1.17292
91,2021-09-22T10:00:00.000000000Z,2487,1.17287,1.17356,1.17285,1.17338,1.17281,1.17350,1.17278,1.17331,1.17293,1.17363,1.17292,1.17346
