,time,volume,mid_o,mid_h,mid_l,mid_c,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c
0,2006-03-29T22:00:00.000000000Z,9896,5954.0,5995.9,5937.1,5954.2,5954.0,5995.9,5937.1,5954.2,5954.0,5995.9,5937.1,5954.2
1,2006-03-30T22:00:00.000000000Z,10169,5967.8,5995.8,5945.0,5971.0,5967.8,5995.8,5945.0,5971.0,5967.8,5995.8,5945.0,5971.0
2,2006-04-02T21:00:00.000000000Z,8910,5998.5,6031.9,5981.2,6007.2,5998.5,6031.9,5981.2,6007.2,5998.5,6031.9,5981.2,6007.2
3,2006-04-03T21:00:00.000000000Z,9168,6014.8,6035.5,5994.9,6035.0,6014.8,6035.5,5994.9,6035.0,6014.8,6035.5,5994.9,6035.0
4,2006-04-04T21:00:00.000000000Z,8975,6028.7,6039.3,5997.4,6036.9,6028.7,6039.3,5997.4,6036.9,6028.7,6039.3,5997.4,6036.9
5,2006-04-05T21:00:00.000000000Z,10137,6045.1,6050.1,6008.8,6030.9,6045.1,6050.1,6008.8,6030.9,6045.1,6050.1,6008.8,6030.9
6,2006-04-06T21:00:00.000000000Z,11643,6034.6,6046.1,5940.2,5944.3,6034.6,6046.1,5940.2,5944.3,6034.6,6046.1,5940.2,5944.3
7,2006-04-09T21:00:00.000000000Z,10218,5950.8,6006.7,5946.4,5988.9,5950.8,6006.7,5946.4,5988.9,5950.8,6006.7,5946.4,5988.9
8,2006-04-10T21:00:00.000000000Z,11543,5990.6,5998.5,5883.3,5890.3,5990.6,5998.5,5883.3,5890.3,5990.6,5998.5,5883.3,5890.3
9,2006-04-11T21:00:00.000000000Z,10781,5899.0,5917.5,5860.7,5905.2,5899.0,5917.5,5860.7,5905.2,5899.0,5917.5,5860.7,5905.2
10,2006-04-12T21:00:00.000000000Z,9470,5908.9,5925.9,5872.1,5918.0,5908.9,5925.9,5872.1,5918.0,5908.9,5925.9,5872.1,5918.0
11,2006-04-17T21:00:00.000000000Z,10796,5916.0,5955.6,5867.8,5955.6,5916.0,5955.6,5867.8,5955.6,5916.0,5955.6,5867.8,5955.6
12,2006-04-18T21:00:00.000000000Z,10949,5966.7,6016.8,5962.7,6013.3,5966.7,6016.8,5962.7,6013.3,5966.7,6016.8,5962.7,6013.3
13,2006-04-19T21:00:00.000000000Z,10864,5997.5,6091.3,5996.0,6074.9,5997.5,6091.3,5996.0,6074.9,5997.5,6091.3,5996.0,6074.9
14,2006-04-20T21:00:00.000000000Z,9753,6078.1,6108.1,6070.4,6083.9,6078.1,6108.1,6070.4,6083.9,6078.1,6108.1,6070.4,6083.9
15,2006-04-23T21:00:00.000000000Z,8087,6053.1,6099.6,6047.1,6093.7,6053.1,6099.6,6047.1,6093.7,6053.1,6099.6,6047.1,6093.7
16,2006-04-24T21:00:00.000000000Z,10055,6088.9,6111.8,6051.7,6080.7,6088.9,6111.8,6051.7,6080.7,6088.9,6111.8,6051.7,6080.7
17,2006-04-25T21:00:00.000000000Z,8483,6094.8,6123.9,6082.5,6115.0,6094.8,6123.9,6082.5,6115.0,6094.8,6123.9,6082.5,6115.0
18,2006-04-26T21:00:00.000000000Z,14096,6117.2,6117.7,6023.1,6070.1,6117.2,6117.7,6023.1,6070.1,6117.2,6117.7,6023.1,6070.1
19,2006-04-27T21:00:00.000000000Z,10957,6050.9,6052.9,5999.2,6004.3,6050.9,6052.9,5999.2,6004.3,6050.9,6052.9,5999.2,6004.3
20,2006-05-01T21:00:00.000000000Z,8104,6004.3,6067.4,6004.3,6064.9,6004.3,6067.4,6004.3,6064.9,6004.3,6067.4,6004.3,6064.9
21,2006-05-02T21:00:00.000000000Z,11264,6073.6,6082.0,5961.6,5987.6,6073.6,6082.0,5961.6,5987.6,6073.6,6082.0,5961.6,5987.6
22,2006-05-03T21:00:00.000000000Z,10444,5984.3,6050.2,5966.4,6041.8,5984.3,6050.2,5966.4,6041.8,5984.3,6050.2,5966.4,6041.8
23,2006-05-04T21:00:00.000000000Z,10216,6042.6,6140.0,6042.6,6138.0,6042.6,6140.0,6042.6,6138.0,6042.6,6140.0,6042.6,6138.0
24,2006-05-07T21:00:00.000000000Z,7357,6135.6,6154.2,6118.3,6132.9,6135.6,6154.2,6118.3,6132.9,6135.6,6154.2,6118.3,6132.9
25,2006-05-08T21:00:00.000000000Z,7393,6127.1,6144.2,6095.2,6139.8,6127.1,6144.2,6095.2,6139.8,6127.1,6144.2,6095.2,6139.8
26,2006-05-09T21:00:00.000000000Z,8595,6122.1,6160.0,6107.3,6126.8,6122.1,6160.0,6107.3,6126.8,6122.1,6160.0,6107.3,6126.8
27,2006-05-10T21:00:00.000000000Z,11848,6122.0,6162.9,6024.0,6032.0,6122.0,6162.9,6024.0,6032.0,6122.0,6162.9,6024.0,6032.0
