,time,volume,mid_o,mid_h,mid_l,mid_c,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c
0,2021-01-29T05:00:00.000000000Z,2026,13500.0,13500.0,13450.3,13478.1,13497.5,13497.8,13447.0,13476.6,13502.5,13503.0,13452.2,13479.6
1,2021-01-29T06:00:00.000000000Z,1891,13477.6,13516.8,13424.1,13514.3,13476.6,13515.3,13421.8,13511.3,13478.6,13520.8,13425.3,13517.3
2,2021-01-29T07:00:00.000000000Z,10652,13515.4,13543.6,13461.4,13492.0,13511.4,13542.8,13460.1,13490.3,13519.4,13546.3,13462.6,13493.8
3,2021-01-29T08:00:00.000000000Z,40707,13491.4,13549.6,13401.8,13527.6,13489.6,13549.1,13401.2,13526.7,13493.1,13550.9,13402.3,13528.4
4,2021-01-29T09:00:00.000000000Z,20035,13528.4,13572.6,13486.0,13531.0,13527.5,13572.1,13485.2,13530.2,13529.2,13573.1,13486.7,13531.9
5,2021-01-29T10:00:00.000000000Z,15455,13530.8,13546.0,13478.6,13533.0,13530.3,13545.2,13477.6,13532.2,13531.2,13547.1,13479.0,13533.9
6,2021-01-29T11:00:00.000000000Z,14125,13532.6,13596.0,13517.6,13564.2,13531.7,13595.5,13516.9,13563.4,13533.4,13596.6,13518.0,13565.1
7,2021-01-29T12:00:00.000000000Z,12265,13564.2,13578.8,13524.6,13527.2,13563.8,13578.1,13523.4,13526.4,13564.7,13579.6,13525.0,13528.1
8,2021-01-29T13:00:00.000000000Z,27123,13526.8,13554.0,13431.6,13522.6,13526.3,13553.2,13429.9,13522.1,13527.2,13554.9,13432.9,13523.0
9,2021-01-29T14:00:00.000000000Z,24632,13522.2,13561.0,13474.8,13518.8,13521.4,13560.2,13473.4,13516.9,13523.1,13562.1,13475.9,13520.6
10,2021-01-29T15:00:00.000000000Z,37774,13518.0,13590.0,13503.0,13552.0,13516.2,13589.3,13501.7,13551.2,13519.9,13591.1,13504.0,13552.9
11,2021-01-29T16:00:00.000000000Z,37150,13551.8,13562.6,13417.6,13468.0,13551.3,13562.1,13416.3,13466.8,13552.2,13563.1,13418.4,13469.3
12,2021-01-29T17:00:00.000000000Z,31336,13467.8,13471.0,13367.0,13387.8,13466.9,13469.9,13365.5,13386.5,13468.6,13472.3,13368.1,13389.0
13,2021-01-29T18:00:00.000000000Z,42165,13387.0,13438.0,13374.2,13402.2,13385.8,13436.8,13373.0,13401.0,13388.3,13439.3,13375.1,13403.5
14,2021-01-29T19:00:00.000000000Z,14348,13401.8,13438.2,13398.0,13421.0,13400.9,13437.4,13396.5,13419.8,13402.6,13439.3,13399.3,13422.3
15,2021-01-29T20:00:00.000000000Z,14727,13420.8,13476.2,13420.6,13427.0,13419.9,13474.8,13418.8,13423.0,13421.6,13478.0,13421.6,13431.0
16,2021-02-01T00:00:00.000000000Z,2063,13366.0,13439.0,13366.0,13426.8,13363.0,13437.0,13362.7,13424.3,13369.0,13441.8,13369.0,13429.3
17,2021-02-01T01:00:00.000000000Z,3458,13425.6,13470.5,13417.0,13452.7,13424.8,13468.0,13414.0,13450.2,13426.5,13473.3,13419.7,13455.2
18,2021-02-01T02:00:00.000000000Z,2993,13452.7,13495.5,13452.7,13486.2,13449.7,13493.2,13449.7,13484.2,13455.7,13498.3,13455.5,13488.2
19,2021-02-01T03:00:00.000000000Z,2264,13486.2,13536.7,13482.5,13526.7,13484.7,13535.5,13479.5,13524.7,13487.7,13539.7,13484.7,13528.7
20,2021-02-01T04:00:00.000000000Z,1137,13527.2,13536.7,13511.8,13533.7,13525.7,13535.0,13510.3,13531.7,13528.7,13539.7,13512.8,13535.7
21,2021-02-01T05:00:00.000000000Z,1654,13534.2,13544.0,13527.0,13539.5,13532.7,13543.0,13524.5,13537.0,13535.7,13546.3,13529.0,13542.0
22,2021-02-01T06:00:00.000000000Z,1756,13539.7,13562.7,13529.0,13547.0,13537.7,13561.2,13526.2,13546.0,13541.7,13564.8,13530.7,13548.0
23,2021-02-01T07:00:00.000000000Z,5915,13546.8,13598.6,13513.6,13579.0,13545.3,13597.4,13511.8,13576.8,13548.3,13601.3,13514.4,13581.3
24,2021-02-01T08:00:00.000000000Z,23605,13579.2,13603.0,13517.8,13589.0,13577.5,13602.3,13516.9,13588.2,13581.0,13603.9,13518.2,13589.9
25,2021-02-01T09:00:00.000000000Z,12828,13588.8,13628.6,13550.6,13574.8,13587.4,13628.1,13549.9,13573.4,13590.1,13629.3,13551.0,13576.1
26,2021-02-01T10:00:00.000000000Z,8112,13574.2,13624.2,13572.2,13585.2,13573.4,13623.8,13571.4,13584.4,13575.1,13624.9,13572.7,13586.1
27,2021-02-01T11:00:00.000000000Z,9456,13585.2,13650.2,13580.0,13614.8,13583.9,13649.8,13578.9,13613.4,13586.6,13651.1,13580.7,13616.1
28,2021-02-01T12:00:00.000000000Z,6869,13614.2,13643.6,13611.8,13626.0,13613.4,13643.1,13611.2,13625.2,13615.1,13644.6,13612.2,13626.9
29,2021-02-01T13:00:00.000000000Z,6502,13626.2,13639.0,13612.6,13617.0,13625.8,13638.5,13611.9,13616.2,13626.7,13640.1,13613.0,13617.9
30,2021-02-01T14:00:00.000000000Z,16010,13616.8,13632.0,13567.8,13589.0,13615.4,13631.3,13565.9,13587.2,13618.1,13632.9,13569.0,13590.9
31,2021-02-01T15:00:00.000000000Z,24046,13588.6,13633.0,13570.0,13593.0,13586.7,13632.3,13568.9,13592.2,13590.4,13633.9,13570.9,13593.9
32,2021-02-01T16:00:00.000000000Z,14021,13592.8,13653.6,13583.6,13624.8,13592.3,13652.7,13582.9,13623.5,13593.2,13654.5,13584.0,13626.0
33,2021-02-01T17:00:00.000000000Z,5495,13625.2,13647.8,13624.6,13646.2,13624.4,13646.9,13623.5,13645.0,13626.1,13648.8,13625.4,13647.5
34,2021-02-01T18:00:00.000000000Z,4028,13646.2,13655.8,13635.0,13652.8,13645.4,13654.9,13633.8,13651.9,13647.1,13657.0,13636.1,13653.6
35,2021-02-01T19:00:00.000000000Z,4122,13652.8,13671.6,13645.8,13663.0,13651.5,13670.7,13644.5,13661.8,13654.0,13673.0,13646.6,13664.3
36,2021-02-01T20:00:00.000000000Z,3600,13663.2,13687.6,13661.8,13670.0,13662.4,13686.7,13660.5,13666.0,13664.1,13689.3,13662.6,13674.0
37,2021-02-02T00:00:00.000000000Z,1151,13647.8,13665.0,13636.6,13664.5,13643.8,13662.5,13634.0,13661.0,13651.8,13668.0,13637.4,13668.0
38,2021-02-02T01:00:00.000000000Z,3058,13665.2,13715.2,13665.2,13704.8,13662.2,13713.2,13662.0,13703.3,13668.2,13718.0,13668.2,13706.3
39,2021-02-02T02:00:00.000000000Z,1365,13705.4,13714.7,13681.0,13701.2,13702.9,13713.0,13679.0,13698.7,13707.9,13717.2,13682.5,13703.7
40,2021-02-02T03:00:00.000000000Z,2087,13701.7,13702.3,13684.3,13696.2,13699.7,13701.0,13681.8,13693.7,13703.7,13704.8,13686.3,13698.7
41,2021-02-02T04:00:00.000000000Z,1180,13696.7,13700.2,13685.8,13690.7,13694.7,13698.3,13683.8,13688.2,13698.7,13703.3,13687.3,13693.2
42,2021-02-02T05:00:00.000000000Z,1484,13690.0,13707.5,13686.3,13706.3,13687.5,13706.3,13682.7,13704.3,13692.5,13709.7,13688.5,13708.3
43,2021-02-02T06:00:00.000000000Z,1535,13705.8,13712.0,13687.0,13701.7,13704.3,13710.0,13684.7,13699.2,13707.3,13714.0,13688.0,13704.2
44,2021-02-02T07:00:00.000000000Z,4691,13701.7,13715.0,13679.8,13705.2,13699.7,13713.9,13678.8,13704.0,13703.7,13716.3,13680.6,13706.5
45,2021-02-02T08:00:00.000000000Z,24823,13704.8,13806.0,13683.0,13774.0,13703.0,13805.3,13681.9,13773.2,13706.5,13807.1,13683.7,13774.9
46,2021-02-02T09:00:00.000000000Z,13218,13774.2,13821.2,13771.6,13806.2,13773.8,13820.4,13770.9,13804.9,13774.7,13822.1,13772.0,13807.6
47,2021-02-02T10:00:00.000000000Z,7760,13806.2,13818.6,13784.0,13805.0,13805.4,13818.1,13783.2,13804.2,13807.1,13819.1,13784.7,13805.9
48,2021-02-02T11:00:00.000000000Z,6249,13805.2,13814.0,13764.6,13764.6,13804.8,13813.3,13764.1,13764.1,13805.7,13814.9,13765.0,13765.0
49,2021-02-02T12:00:00.000000000Z,6710,13764.8,13790.0,13759.8,13769.0,13763.9,13789.3,13759.2,13768.2,13765.6,13791.1,13760.2,13769.9
50,2021-02-02T13:00:00.000000000Z,7358,13768.8,13786.6,13743.6,13756.6,13768.3,13786.1,13742.9,13756.1,13769.2,13787.1,13744.0,13757.0
51,2021-02-02T14:00:00.000000000Z,12343,13757.0,13809.6,13750.6,13798.0,13756.2,13809.1,13749.9,13797.2,13757.9,13810.6,13751.0,13798.9
52,2021-02-02T15:00:00.000000000Z,16702,13798.2,13834.0,13797.0,13826.0,13797.8,13833.3,13796.2,13825.2,13798.7,13834.9,13797.7,13826.9
