,time,volume,mid_o,mid_h,mid_l,mid_c,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c
0,2008-02-06T22:00:00.000000000Z,43354,1.46322,1.46518,1.44392,1.44850,1.46318,1.46514,1.44388,1.44846,1.46327,1.46523,1.44397,1.44855
1,2008-02-07T22:00:00.000000000Z,36281,1.44842,1.45470,1.44508,1.45056,1.44837,1.45466,1.44503,1.45006,1.44846,1.45475,1.44512,1.45106
2,2008-02-09T22:00:00.000000000Z,586,1.45060,1.45265,1.45045,1.45175,1.45010,1.45215,1.44995,1.45125,1.45110,1.45315,1.45095,1.45225
3,2008-02-10T22:00:00.000000000Z,33083,1.45175,1.45774,1.44818,1.45184,1.45125,1.45769,1.44814,1.45179,1.45225,1.45778,1.44823,1.45188
4,2008-02-11T22:00:00.000000000Z,37567,1.45188,1.46150,1.44962,1.45844,1.45184,1.46145,1.44958,1.45839,1.45193,1.46154,1.44967,1.45848
5,2008-02-12T22:00:00.000000000Z,32651,1.45844,1.45996,1.45318,1.45734,1.45839,1.45991,1.45313,1.45729,1.45848,1.46000,1.45322,1.45738
6,2008-02-13T22:00:00.000000000Z,24327,1.45734,1.46470,1.45484,1.46428,1.45729,1.46466,1.45479,1.46424,1.45738,1.46475,1.45488,1.46433
7,2008-02-14T22:00:00.000000000Z,32831,1.46424,1.47098,1.46312,1.46820,1.46419,1.47091,1.46307,1.46770,1.46428,1.47106,1.46316,1.46870
8,2008-02-16T22:00:00.000000000Z,573,1.46777,1.46825,1.46716,1.46799,1.46727,1.46775,1.46666,1.46749,1.46827,1.46875,1.46766,1.46849
9,2008-02-17T22:00:00.000000000Z,23149,1.46800,1.46905,1.46112,1.46582,1.46750,1.46895,1.46108,1.46578,1.46850,1.46915,1.46117,1.46587
10,2008-02-18T22:00:00.000000000Z,29483,1.46572,1.47566,1.46422,1.47258,1.46568,1.47562,1.46418,1.47253,1.46577,1.47571,1.46427,1.47262
11,2008-02-19T22:00:00.000000000Z,33721,1.47262,1.47318,1.46142,1.47148,1.47258,1.47313,1.46138,1.47144,1.47267,1.47322,1.46147,1.47153
12,2008-02-20T22:00:00.000000000Z,32849,1.47148,1.48376,1.47026,1.48140,1.47144,1.48371,1.47021,1.48136,1.47153,1.48380,1.47030,1.48145
13,2008-02-21T22:00:00.000000000Z,25831,1.48146,1.48636,1.47886,1.48267,1.48141,1.48631,1.47881,1.48217,1.48150,1.48640,1.47890,1.48317
14,2008-02-22T22:00:00.000000000Z,2,1.48282,1.48282,1.48267,1.48267,1.48232,1.48232,1.48217,1.48217,1.48332,1.48332,1.48317,1.48317
15,2008-02-23T22:00:00.000000000Z,604,1.48267,1.48407,1.48267,1.48392,1.48217,1.48357,1.48217,1.48342,1.48317,1.48457,1.48317,1.48442
16,2008-02-24T22:00:00.000000000Z,26762,1.48395,1.48442,1.47948,1.48302,1.48345,1.48438,1.47943,1.48298,1.48445,1.48461,1.47952,1.48307
17,2008-02-25T22:00:00.000000000Z,30341,1.48302,1.49864,1.47778,1.49744,1.48298,1.49860,1.47773,1.49739,1.48307,1.49869,1.47782,1.49748
18,2008-02-26T22:00:00.000000000Z,41600,1.49744,1.51440,1.49714,1.51204,1.49739,1.51434,1.49709,1.51199,1.49748,1.51446,1.49718,1.51208
19,2008-02-27T22:00:00.000000000Z,37949,1.51198,1.52300,1.50740,1.51934,1.51194,1.52296,1.50738,1.51929,1.51203,1.52305,1.50743,1.51938
20,2008-02-28T22:00:00.000000000Z,37422,1.51914,1.52390,1.51436,1.51786,1.51909,1.52386,1.51431,1.51736,1.51918,1.52395,1.51440,1.51836
21,2008-03-01T22:00:00.000000000Z,652,1.51862,1.51957,1.51667,1.51952,1.51812,1.51907,1.51617,1.51902,1.51912,1.52007,1.51717,1.52002
22,2008-03-02T22:00:00.000000000Z,32377,1.51942,1.52764,1.51578,1.52040,1.51892,1.52759,1.51573,1.52036,1.51992,1.52768,1.51582,1.52045
23,2008-03-03T22:00:00.000000000Z,26582,1.52036,1.52496,1.51738,1.52166,1.52031,1.52491,1.51733,1.52161,1.52040,1.52500,1.51742,1.52170
24,2008-03-04T22:00:00.000000000Z,26907,1.52166,1.53022,1.51458,1.52650,1.52161,1.53018,1.51454,1.52646,1.52170,1.53027,1.51463,1.52655
25,2008-03-05T22:00:00.000000000Z,30660,1.52650,1.53944,1.52616,1.53808,1.52646,1.53939,1.52611,1.53803,1.52655,1.53948,1.52620,1.53812
26,2008-03-06T22:00:00.000000000Z,30719,1.53798,1.54625,1.53148,1.53557,1.53793,1.54575,1.53143,1.53507,1.53802,1.54675,1.53152,1.53607
27,2008-03-08T22:00:00.000000000Z,273,1.53507,1.53637,1.53502,1.53632,1.53457,1.53587,1.53452,1.53582,1.53557,1.53687,1.53552,1.53682
28,2008-03-09T21:00:00.000000000Z,23927,1.53632,1.54051,1.53134,1.53436,1.53582,1.54006,1.53130,1.53431,1.53682,1.54101,1.53139,1.53440
29,2008-03-10T21:00:00.000000000Z,41982,1.53434,1.54956,1.52830,1.53380,1.53430,1.54952,1.52825,1.53376,1.53439,1.54961,1.52834,1.53385
30,2008-03-11T21:00:00.000000000Z,41663,1.53376,1.55720,1.53316,1.55512,1.53371,1.55716,1.53311,1.55508,1.53380,1.55725,1.53320,1.55517
31,2008-03-12T21:00:00.000000000Z,45918,1.55512,1.56456,1.55226,1.56358,1.55507,1.56452,1.55221,1.56353,1.55516,1.56461,1.55230,1.56362
32,2008-03-13T21:00:00.000000000Z,48968,1.56358,1.56878,1.55326,1.56737,1.56353,1.56872,1.55321,1.56687,1.56362,1.56884,1.55330,1.56787
33,2008-03-15T21:00:00.000000000Z,814,1.56702,1.56840,1.56565,1.56816,1.56652,1.56790,1.56515,1.56766,1.56752,1.56890,1.56615,1.56866
34,2008-03-16T21:00:00.000000000Z,56419,1.56815,1.59050,1.56800,1.57291,1.56765,1.59035,1.56750,1.57283,1.56865,1.59065,1.56850,1.57299
35,2008-03-17T21:00:00.000000000Z,47517,1.57291,1.58322,1.56173,1.56240,1.57283,1.58318,1.56167,1.56234,1.57299,1.58327,1.56179,1.56246
36,2008-03-18T21:00:00.000000000Z,45978,1.56247,1.57852,1.55822,1.56260,1.56241,1.57847,1.55818,1.56254,1.56253,1.57858,1.55827,1.56266
37,2008-03-19T21:00:00.000000000Z,41048,1.56260,1.56511,1.53968,1.54280,1.56254,1.56505,1.53963,1.54275,1.56266,1.56517,1.53972,1.54284
38,2008-03-20T21:00:00.000000000Z,9381,1.54278,1.54734,1.54057,1.54339,1.54274,1.54725,1.54042,1.54289,1.54283,1.54742,1.54072,1.54389
39,2008-03-22T21:00:00.000000000Z,214,1.54395,1.54415,1.54360,1.54415,1.54345,1.54365,1.54310,1.54365,1.54445,1.54465,1.54410,1.54465
40,2008-03-23T21:00:00.000000000Z,23762,1.54415,1.54555,1.53415,1.54227,1.54365,1.54545,1.53405,1.54218,1.54465,1.54565,1.53425,1.54236
41,2008-03-24T21:00:00.000000000Z,35238,1.54233,1.56590,1.54078,1.56502,1.54224,1.56586,1.54072,1.56498,1.54242,1.56595,1.54085,1.56507
42,2008-03-25T21:00:00.000000000Z,42149,1.56498,1.58594,1.55842,1.58456,1.56493,1.58589,1.55838,1.58451,1.56502,1.58598,1.55847,1.58460
