,time,volume,mid_o,mid_h,mid_l,mid_c,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c
0,2006-07-17T21:00:00.000000000Z,9850,1467.8,1476.7,1445.5,1470.0,1467.8,1476.7,1445.5,1470.0,1467.8,1476.7,1445.5,1470.0
1,2006-07-18T21:00:00.000000000Z,9666,1469.8,1497.8,1464.2,1484.1,1469.8,1497.8,1464.2,1484.1,1469.8,1497.8,1464.2,1484.1
2,2006-07-19T21:00:00.000000000Z,9162,1483.9,1495.5,1458.8,1472.7,1483.9,1495.5,1458.8,1472.7,1483.9,1495.5,1458.8,1472.7
3,2006-07-20T21:00:00.000000000Z,7973,1473.0,1473.5,1448.1,1448.8,1473.0,1473.5,1448.1,1448.8,1473.0,1473.5,1448.1,1448.8
4,2006-07-23T21:00:00.000000000Z,6527,1449.5,1488.2,1448.5,1486.7,1449.5,1488.2,1448.5,1486.7,1449.5,1488.2,1448.5,1486.7
5,2006-07-24T21:00:00.000000000Z,7042,1487.0,1493.6,1473.3,1481.0,1487.0,1493.6,1473.3,1481.0,1487.0,1493.6,1473.3,1481.0
6,2006-07-25T21:00:00.000000000Z,6809,1481.2,1498.5,1472.4,1485.4,1481.2,1498.5,1472.4,1485.4,1481.2,1498.5,1472.4,1485.4
7,2006-07-26T21:00:00.000000000Z,7182,1485.2,1505.4,1473.4,1482.2,1485.2,1505.4,1473.4,1482.2,1485.2,1505.4,1473.4,1482.2
8,2006-07-27T21:00:00.000000000Z,6628,1482.4,1511.4,1480.8,1511.4,1482.4,1511.4,1480.8,1511.4,1482.4,1511.4,1480.8,1511.4
9,2006-07-30T21:00:00.000000000Z,4923,1509.9,1517.0,1499.8,1505.9,1509.9,1517.0,1499.8,1505.9,1509.9,1517.0,1499.8,1505.9
10,2006-07-31T21:00:00.000000000Z,6117,1505.6,1507.4,1474.3,1484.2,1505.6,1507.4,1474.3,1484.2,1505.6,1507.4,1474.3,1484.2
11,2006-08-01T21:00:00.000000000Z,5859,1484.0,1509.7,1483.2,1500.1,1484.0,1509.7,1483.2,1500.1,1484.0,1509.7,1483.2,1500.1
12,2006-08-02T21:00:00.000000000Z,6474,1500.1,1518.2,1483.3,1511.7,1500.1,1518.2,1483.3,1511.7,1500.1,1518.2,1483.3,1511.7
13,2006-08-03T21:00:00.000000000Z,8530,1511.5,1529.8,1488.1,1506.2,1511.5,1529.8,1488.1,1506.2,1511.5,1529.8,1488.1,1506.2
14,2006-08-06T21:00:00.000000000Z,4999,1506.4,1506.7,1485.5,1493.7,1506.4,1506.7,1485.5,1493.7,1506.4,1506.7,1485.5,1493.7
15,2006-08-07T21:00:00.000000000Z,6942,1494.2,1500.6,1474.3,1491.9,1494.2,1500.6,1474.3,1491.9,1494.2,1500.6,1474.3,1491.9
16,2006-08-08T21:00:00.000000000Z,8014,1491.7,1517.0,1481.0,1486.4,1491.7,1517.0,1481.0,1486.4,1491.7,1517.0,1481.0,1486.4
17,2006-08-09T21:00:00.000000000Z,7254,1486.2,1499.3,1476.1,1491.9,1486.2,1499.3,1476.1,1491.9,1486.2,1499.3,1476.1,1491.9
18,2006-08-10T21:00:00.000000000Z,5055,1492.1,1494.0,1478.1,1488.4,1492.1,1494.0,1478.1,1488.4,1492.1,1494.0,1478.1,1488.4
19,2006-08-13T21:00:00.000000000Z,5985,1492.0,1515.8,1491.6,1495.0,1492.0,1515.8,1491.6,1495.0,1492.0,1515.8,1491.6,1495.0
20,2006-08-14T21:00:00.000000000Z,6857,1494.7,1535.5,1493.8,1534.0,1494.7,1535.5,1493.8,1534.0,1494.7,1535.5,1493.8,1534.0
21,2006-08-15T21:00:00.000000000Z,7475,1533.8,1570.8,1532.2,1570.4,1533.8,1570.8,1532.2,1570.4,1533.8,1570.8,1532.2,1570.4
22,2006-08-16T21:00:00.000000000Z,6900,1570.1,1585.0,1562.5,1570.8,1570.1,1585.0,1562.5,1570.8,1570.1,1585.0,1562.5,1570.8
23,2006-08-17T21:00:00.000000000Z,5509,1571.1,1579.5,1556.6,1578.5,1571.1,1579.5,1556.6,1578.5,1571.1,1579.5,1556.6,1578.5
24,2006-08-20T21:00:00.000000000Z,4619,1577.8,1578.0,1556.0,1565.0,1577.8,1578.0,1556.0,1565.0,1577.8,1578.0,1556.0,1565.0
25,2006-08-21T21:00:00.000000000Z,5600,1564.8,1578.2,1555.5,1559.8,1564.8,1578.2,1555.5,1559.8,1564.8,1578.2,1555.5,1559.8
26,2006-08-22T21:00:00.000000000Z,5926,1559.8,1572.1,1543.0,1552.8,1559.8,1572.1,1543.0,1552.8,1559.8,1572.1,1543.0,1552.8
27,2006-08-23T21:00:00.000000000Z,5349,1552.5,1559.2,1542.0,1554.2,1552.5,1559.2,1542.0,1554.2,1552.5,1559.2,1542.0,1554.2
28,2006-08-24T21:00:00.000000000Z,4659,1554.2,1571.3,1547.2,1556.5,1554.2,1571.3,1547.2,1556.5,1554.2,1571.3,1547.2,1556.5
29,2006-08-27T21:00:00.000000000Z,4653,1556.9,1575.6,1552.3,1568.1,1556.9,1575.6,1552.3,1568.1,1556.9,1575.6,1552.3,1568.1
30,2006-08-28T21:00:00.000000000Z,5901,1567.6,1576.6,1552.3,1572.8,1567.6,1576.6,1552.3,1572.8,1567.6,1576.6,1552.3,1572.8
31,2006-08-29T21:00:00.000000000Z,4886,1572.6,1584.0,1569.3,1582.5,1572.6,1584.0,1569.3,1582.5,1572.6,1584.0,1569.3,1582.5
32,2006-08-30T21:00:00.000000000Z,4108,1582.3,1587.2,1576.0,1580.5,1582.3,1587.2,1576.0,1580.5,1582.3,1587.2,1576.0,1580.5
33,2006-08-31T21:00:00.000000000Z,4190,1582.1,1594.2,1580.4,1587.7,1582.1,1594.2,1580.4,1587.7,1582.1,1594.2,1580.4,1587.7
34,2006-09-03T21:00:00.000000000Z,199,1587.5,1594.1,1587.5,1592.9,1587.5,1594.1,1587.5,1592.9,1587.5,1594.1,1587.5,1592.9
35,2006-09-04T21:00:00.000000000Z,5868,1593.7,1606.1,1580.1,1601.9,1593.7,1606.1,1580.1,1601.9,1593.7,1606.1,1580.1,1601.9
36,2006-09-05T21:00:00.000000000Z,5865,1601.7,1602.4,1569.9,1573.7,1601.7,1602.4,1569.9,1573.7,1601.7,1602.4,1569.9,1573.7
37,2006-09-06T21:00:00.000000000Z,3988,1573.4,1582.1,1559.8,1565.9,1573.4,1582.1,1559.8,1565.9,1573.4,1582.1,1559.8,1565.9
38,2006-09-07T21:00:00.000000000Z,1938,1565.7,1578.8,1564.1,1569.9,1565.7,1578.8,1564.1,1569.9,1565.7,1578.8,1564.1,1569.9
39,2006-09-10T21:00:00.000000000Z,2390,1570.8,1592.5,1558.3,1583.3,1570.8,1592.5,1558.3,1583.3,1570.8,1592.5,1558.3,1583.3
40,2006-09-11T21:00:00.000000000Z,1727,1583.8,1618.5,1576.2,1613.0,1583.8,1618.5,1576.2,1613.0,1583.8,1618.5,1576.2,1613.0
41,2006-09-12T21:00:00.000000000Z,1366,1614.5,1626.3,1612.2,1623.3,1614.5,1626.3,1612.2,1623.3,1614.5,1626.3,1612.2,1623.3
42,2006-09-13T21:00:00.000000000Z,833,1623.8,1630.0,1617.7,1626.5,1623.8,1630.0,1617.7,1626.5,1623.8,1630.0,1617.7,1626.5
43,2006-09-14T21:00:00.000000000Z,6700,1626.3,1647.2,1625.6,1635.3,1626.3,1647.2,1625.6,1635.3,1626.3,1647.2,1625.6,1635.3
44,2006-09-17T21:00:00.000000000Z,5432,1634.8,1645.1,1626.8,1635.7,1634.8,1645.1,1626.8,1635.7,1634.8,1645.1,1626.8,1635.7
45,2006-09-18T21:00:00.000000000Z,8044,1636.0,1640.1,1609.7,1628.8,1636.0,1640.1,1609.7,1628.8,1636.0,1640.1,1609.7,1628.8
46,2006-09-19T21:00:00.000000000Z,6716,1629.0,1650.2,1627.0,1646.5,1629.0,1650.2,1627.0,1646.5,1629.0,1650.2,1627.0,1646.5
47,2006-09-20T21:00:00.000000000Z,7331,1646.8,1655.3,1631.4,1637.3,1646.8,1655.3,1631.4,1637.3,1646.8,1655.3,1631.4,1637.3
48,2006-09-21T21:00:00.000000000Z,5832,1637.6,1640.1,1615.7,1625.2,1637.6,1640.1,1615.7,1625.2,1637.6,1640.1,1615.7,1625.2
49,2006-09-24T21:00:00.000000000Z,7675,1624.3,1655.5,1615.3,1649.0,1624.3,1655.5,1615.3,1649.0,1624.3,1655.5,1615.3,1649.0
50,2006-09-25T21:00:00.000000000Z,6336,1649.0,1661.1,1644.7,1656.9,1649.0,1661.1,1644.7,1656.9,1649.0,1661.1,1644.7,1656.9
51,2006-09-26T21:00:00.000000000Z,7259,1657.2,1666.5,1648.2,1660.6,1657.2,1666.5,1648.2,1660.6,1657.2,1666.5,1648.2,1660.6
52,2006-09-27T21:00:00.000000000Z,6006,1660.8,1664.4,1645.4,1657.8,1660.8,1664.4,1645.4,1657.8,1660.8,1664.4,1645.4,1657.8
53,2006-09-28T21:00:00.000000000Z,5154,1657.6,1666.2,1653.5,1654.3,1657.6,1666.2,1653.5,1654.3,1657.6,1666.2,1653.5,1654.3
54,2006-10-01T21:00:00.000000000Z,6101,1655.0,1659.5,1628.9,1629.2,1655.0,1659.5,1628.9,1629.2,1655.0,1659.5,1628.9,1629.2
55,2006-10-02T21:00:00.000000000Z,6919,1628.9,1648.2,1623.3,1640.3,1628.9,1648.2,1623.3,1640.3,1628.9,1648.2,1623.3,1640.3
56,2006-10-03T21:00:00.000000000Z,7959,1640.5,1681.3,1633.7,1678.6,1640.5,1681.3,1633.7,1678.6,1640.5,1681.3,1633.7,1678.6
57,2006-10-04T21:00:00.000000000Z,6062,1678.9,1691.5,1676.0,1688.0,1678.9,1691.5,1676.0,1688.0,1678.9,1691.5,1676.0,1688.0
58,2006-10-05T21:00:00.000000000Z,6133,1688.3,1691.7,1677.2,1685.2,1688.3,1691.7,1677.2,1685.2,1688.3,1691.7,1677.2,1685.2
59,2006-10-08T21:00:00.000000000Z,4151,1684.2,1699.5,1679.0,1690.3,1684.2,1699.5,1679.0,1690.3,1684.2,1699.5,1679.0,1690.3
60,2006-10-09T21:00:00.000000000Z,5914,1690.6,1699.4,1681.6,1691.0,1690.6,1699.4,1681.6,1691.0,1690.6,1699.4,1681.6,1691.0
61,2006-10-10T21:00:00.000000000Z,6994,1691.3,1702.4,1675.8,1693.2,1691.3,1702.4,1675.8,1693.2,1691.3,1702.4,1675.8,1693.2
62,2006-10-11T21:00:00.000000000Z,5657,1693.0,1720.5,1690.6,1719.5,1693.0,1720.5,1690.6,1719.5,1693.0,1720.5,1690.6,1719.5
63,2006-10-12T21:00:00.000000000Z,5073,1719.7,1730.3,1715.2,1726.4,1719.7,1730.3,1715.2,1726.4,1719.7,1730.3,1715.2,1726.4
64,2006-10-15T21:00:00.000000000Z,4066,1726.3,1735.0,1722.9,1727.0,1726.3,1735.0,1722.9,1727.0,1726.3,1735.0,1722.9,1727.0
65,2006-10-16T21:00:00.000000000Z,6564,1726.8,1726.8,1700.2,1709.1,1726.8,1726.8,1700.2,1709.1,1726.8,1726.8,1700.2,1709.1
66,2006-10-17T21:00:00.000000000Z,7637,1709.4,1722.0,1695.2,1704.1,1709.4,1722.0,1695.2,1704.1,1709.4,1722.0,1695.2,1704.1
67,2006-10-18T21:00:00.000000000Z,6928,1704.4,1714.2,1692.6,1710.1,1704.4,1714.2,1692.6,1710.1,1704.4,1714.2,1692.6,1710.1
68,2006-10-19T21:00:00.000000000Z,4750,1710.3,1714.4,1694.8,1708.0,1710.3,1714.4,1694.8,1708.0,1710.3,1714.4,1694.8,1708.0
69,2006-10-22T21:00:00.000000000Z,6385,1707.5,1736.3,1702.4,1723.1,1707.5,1736.3,1702.4,1723.1,1707.5,1736.3,1702.4,1723.1
70,2006-10-23T21:00:00.000000000Z,5327,1722.8,1727.7,1706.4,1712.6,1722.8,1727.7,1706.4,1712.6,1722.8,1727.7,1706.4,1712.6
71,2006-10-24T21:00:00.000000000Z,6268,1712.4,1732.0,1711.1,1730.0,1712.4,1732.0,1711.1,1730.0,1712.4,1732.0,1711.1,1730.0
72,2006-10-25T21:00:00.000000000Z,6243,1730.2,1746.3,1718.0,1741.9,1730.2,1746.3,1718.0,1741.9,1730.2,1746.3,1718.0,1741.9
73,2006-10-26T21:00:00.000000000Z,6945,1742.1,1746.1,1712.0,1721.2,1742.1,1746.1,1712.0,1721.2,1742.1,1746.1,1712.0,1721.2
74,2006-10-29T22:00:00.000000000Z,6171,1720.9,1736.0,1711.8,1725.1,1720.9,1736.0,1711.8,1725.1,1720.9,1736.0,1711.8,1725.1
75,2006-10-30T22:00:00.000000000Z,6731,1725.6,1740.2,1721.8,1733.5,1725.6,1740.2,1721.8,1733.5,1725.6,1740.2,1721.8,1733.5
76,2006-10-31T22:00:00.000000000Z,7782,1734.8,1741.1,1701.1,1709.1,1734.8,1741.1,1701.1,1709.1,1734.8,1741.1,1701.1,1709.1
77,2006-11-01T22:00:00.000000000Z,6044,1708.8,1714.5,1698.3,1708.3,1708.8,1714.5,1698.3,1708.3,1708.8,1714.5,1698.3,1708.3
78,2006-11-02T22:00:00.000000000Z,6740,1708.6,1716.2,1692.6,1705.5,1708.6,1716.2,1692.6,1705.5,1708.6,1716.2,1692.6,1705.5
79,2006-11-05T22:00:00.000000000Z,5384,1704.7,1737.5,1704.7,1729.1,1704.7,1737.5,1704.7,1729.1,1704.7,1737.5,1704.7,1729.1
80,2006-11-06T22:00:00.000000000Z,6283,1729.3,1753.9,1727.4,1741.2,1729.3,1753.9,1727.4,1741.2,1729.3,1753.9,1727.4,1741.2
81,2006-11-07T22:00:00.000000000Z,8146,1741.0,1757.4,1727.7,1756.9,1741.0,1757.4,1727.7,1756.9,1741.0,1757.4,1727.7,1756.9
82,2006-11-08T22:00:00.000000000Z,7160,1756.6,1763.0,1735.9,1742.7,1756.6,1763.0,1735.9,1742.7,1756.6,1763.0,1735.9,1742.7
