,time,volume,mid_o,mid_h,mid_l,mid_c,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c
0,2007-02-27T22:00:00.000000000Z,33288,784.252,797.698,782.702,793.109,784.252,797.698,782.702,793.109,784.252,797.698,782.702,793.109
1,2007-02-28T22:00:00.000000000Z,39863,793.009,796.368,772.385,789.483,793.009,796.368,772.385,789.483,793.009,796.368,772.385,789.483
2,2007-03-01T22:00:00.000000000Z,29726,789.683,791.710,772.271,773.170,789.683,791.710,772.271,773.170,789.683,791.710,772.271,773.170
3,2007-03-04T22:00:00.000000000Z,35009,773.611,778.053,756.589,757.891,773.611,778.053,756.589,757.891,773.611,778.053,756.589,757.891
4,2007-03-05T22:00:00.000000000Z,25782,758.390,782.332,754.597,777.341,758.390,782.332,754.597,777.341,758.390,782.332,754.597,777.341
5,2007-03-06T22:00:00.000000000Z,21741,777.241,781.297,772.897,774.804,777.241,781.297,772.897,774.804,777.241,781.297,772.897,774.804
6,2007-03-07T22:00:00.000000000Z,14838,774.606,787.852,773.121,784.291,774.606,787.852,773.121,784.291,774.606,787.852,773.121,784.291
7,2007-03-08T22:00:00.000000000Z,20534,784.490,789.888,780.181,788.024,784.490,789.888,780.181,788.024,784.490,789.888,780.181,788.024
8,2007-03-11T21:00:00.000000000Z,13255,787.957,791.189,783.635,789.806,787.957,791.189,783.635,789.806,787.957,791.189,783.635,789.806
9,2007-03-12T21:00:00.000000000Z,26748,789.607,790.207,768.137,770.124,789.607,790.207,768.137,770.124,789.607,790.207,768.137,770.124
10,2007-03-13T21:00:00.000000000Z,33018,770.223,779.317,760.849,779.020,770.223,779.317,760.849,779.020,770.223,779.317,760.849,779.020
11,2007-03-14T21:00:00.000000000Z,20257,778.921,784.540,774.893,782.657,778.921,784.540,774.893,782.657,778.921,784.540,774.893,782.657
12,2007-03-15T21:00:00.000000000Z,18458,782.558,785.979,776.355,778.749,782.558,785.979,776.355,778.749,782.558,785.979,776.355,778.749
13,2007-03-18T21:00:00.000000000Z,14825,777.790,790.546,775.408,788.276,777.790,790.546,775.408,788.276,777.790,790.546,775.408,788.276
14,2007-03-19T21:00:00.000000000Z,13170,788.574,795.091,785.343,794.100,788.574,795.091,785.343,794.100,788.574,795.091,785.343,794.100
15,2007-03-20T21:00:00.000000000Z,18292,794.001,809.948,792.756,808.861,794.001,809.948,792.756,808.861,794.001,809.948,792.756,808.861
16,2007-03-21T21:00:00.000000000Z,13975,808.563,812.977,804.839,808.431,808.563,812.977,804.839,808.431,808.563,812.977,804.839,808.431
17,2007-03-22T21:00:00.000000000Z,10236,808.332,811.374,807.586,810.184,808.332,811.374,807.586,810.184,808.332,811.374,807.586,810.184
18,2007-03-25T21:00:00.000000000Z,15072,809.628,812.354,802.126,807.407,809.628,812.354,802.126,807.407,809.628,812.354,802.126,807.407
19,2007-03-26T21:00:00.000000000Z,13007,807.705,808.148,797.837,801.712,807.705,808.148,797.837,801.712,807.705,808.148,797.837,801.712
20,2007-03-27T21:00:00.000000000Z,20145,801.612,802.163,792.918,798.698,801.612,802.163,792.918,798.698,801.612,802.163,792.918,798.698
21,2007-03-28T21:00:00.000000000Z,18184,798.499,804.703,791.701,800.254,798.499,804.703,791.701,800.254,798.499,804.703,791.701,800.254
22,2007-03-29T21:00:00.000000000Z,19615,799.956,806.262,794.046,802.007,799.956,806.262,794.046,802.007,799.956,806.262,794.046,802.007
23,2007-04-01T21:00:00.000000000Z,13466,802.343,804.692,798.421,803.898,802.343,804.692,798.421,803.898,802.343,804.692,798.421,803.898
24,2007-04-02T21:00:00.000000000Z,12276,804.196,814.682,803.704,812.016,804.196,814.682,803.704,812.016,804.196,814.682,803.704,812.016
