,time,volume,mid_o,mid_h,mid_l,mid_c,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c
0,2007-06-17T21:00:00.000000000Z,10198,68.040,69.085,67.329,68.988,68.040,69.085,67.329,68.988,68.040,69.085,67.329,68.988
1,2007-06-18T21:00:00.000000000Z,12448,69.008,69.568,68.502,69.013,69.008,69.568,68.502,69.013,69.008,69.568,68.502,69.013
2,2007-06-19T21:00:00.000000000Z,19754,68.993,69.211,67.273,68.349,68.993,69.211,67.273,68.349,68.993,69.211,67.273,68.349
3,2007-06-20T21:00:00.000000000Z,19431,68.359,69.502,67.913,68.272,68.359,69.502,67.913,68.272,68.359,69.502,67.913,68.272
4,2007-06-21T21:00:00.000000000Z,16364,68.292,69.138,67.812,68.683,68.292,69.138,67.812,68.683,68.292,69.138,67.812,68.683
5,2007-06-22T21:00:00.000000000Z,13,68.663,68.723,68.643,68.723,68.663,68.723,68.643,68.723,68.663,68.723,68.643,68.723
6,2007-06-24T21:00:00.000000000Z,18591,68.520,69.127,67.234,68.741,68.520,69.127,67.234,68.741,68.520,69.127,67.234,68.741
7,2007-06-25T21:00:00.000000000Z,17113,68.771,68.874,67.299,67.609,68.771,68.874,67.299,67.609,68.771,68.874,67.299,67.609
8,2007-06-26T21:00:00.000000000Z,20047,67.619,69.064,66.779,68.697,67.619,69.064,66.779,68.697,67.619,69.064,66.779,68.697
9,2007-06-27T21:00:00.000000000Z,18047,68.707,70.230,68.633,69.267,68.707,70.230,68.633,69.267,68.707,70.230,68.633,69.267
10,2007-06-28T21:00:00.000000000Z,14631,69.277,70.783,69.179,70.256,69.277,70.783,69.179,70.256,69.277,70.783,69.179,70.256
11,2007-06-29T21:00:00.000000000Z,14,70.236,70.326,70.207,70.326,70.236,70.326,70.207,70.326,70.236,70.326,70.207,70.326
12,2007-07-01T21:00:00.000000000Z,16889,70.273,71.023,69.335,70.973,70.273,71.023,69.335,70.973,70.273,71.023,69.335,70.973
