,time,volume,mid_o,mid_h,mid_l,mid_c,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c
0,2007-06-07T21:00:00.000000000Z,9393,13.46500,13.53500,12.95500,13.10300,13.43500,13.51000,12.93500,13.02800,13.49500,13.56000,12.97500,13.17800
1,2007-06-10T21:00:00.000000000Z,6367,13.10500,13.26500,13.08000,13.22500,13.03000,13.24500,13.03000,13.20000,13.18000,13.28500,13.10000,13.25000
2,2007-06-11T21:00:00.000000000Z,6539,13.22500,13.24800,13.01500,13.03500,13.20000,13.22300,12.99500,13.00500,13.25000,13.28000,13.03500,13.06500
3,2007-06-12T21:00:00.000000000Z,8792,13.03500,13.16300,12.84600,13.09500,13.00500,13.14300,12.82600,13.07000,13.06500,13.18300,12.86600,13.12000
4,2007-06-13T21:00:00.000000000Z,8052,13.10000,13.19400,12.96500,13.13600,13.07500,13.17400,12.94500,13.11100,13.12500,13.21400,12.98500,13.16100
5,2007-06-14T21:00:00.000000000Z,6988,13.13100,13.23800,13.04900,13.23800,13.10600,13.21800,13.01900,13.16300,13.15600,13.31300,13.06900,13.31300
6,2007-06-17T21:00:00.000000000Z,6686,13.23800,13.37800,13.18500,13.22500,13.20300,13.35800,13.16500,13.20000,13.27300,13.39800,13.20500,13.25000
7,2007-06-18T21:00:00.000000000Z,7526,13.22000,13.34000,13.09000,13.34000,13.19500,13.31800,13.07000,13.31500,13.24500,13.36500,13.11000,13.36500
8,2007-06-19T21:00:00.000000000Z,9070,13.34000,13.38000,13.15000,13.20500,13.31500,13.36000,13.13000,13.18000,13.36500,13.40000,13.17000,13.23000
9,2007-06-20T21:00:00.000000000Z,8161,13.20500,13.24500,12.98600,13.11000,13.18000,13.22500,12.96600,13.08500,13.23000,13.26500,13.00600,13.13500
10,2007-06-21T21:00:00.000000000Z,7911,13.10800,13.18500,12.99500,13.05500,13.08300,13.16500,12.97000,12.98000,13.13300,13.20500,13.01500,13.13000
11,2007-06-24T21:00:00.000000000Z,7928,13.05500,13.07000,12.83500,12.87300,12.98000,13.04500,12.81500,12.84800,13.13000,13.14000,12.85500,12.89800
