,time,volume,mid_o,mid_h,mid_l,mid_c,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c
0,2007-09-04T21:00:00.000000000Z,10732,681.920,683.160,678.460,682.110,681.570,682.960,678.260,681.760,682.270,683.950,678.660,682.460
1,2007-09-05T21:00:00.000000000Z,12006,682.160,697.900,680.950,695.500,681.810,697.700,680.600,695.150,682.510,698.100,681.300,695.850
2,2007-09-06T21:00:00.000000000Z,13630,695.450,707.050,692.300,700.650,695.100,706.800,692.100,699.400,695.800,707.300,692.500,701.900
3,2007-09-09T21:00:00.000000000Z,10022,700.690,707.190,699.400,703.175,699.440,706.990,698.150,702.800,701.940,707.390,699.610,703.550
4,2007-09-10T21:00:00.000000000Z,11052,703.175,714.600,702.525,712.550,702.800,714.400,702.150,712.200,703.550,714.800,702.900,712.900
5,2007-09-11T21:00:00.000000000Z,13414,712.550,714.400,705.830,711.730,712.200,714.150,705.630,711.530,712.900,714.650,706.030,711.930
6,2007-09-12T21:00:00.000000000Z,11614,711.730,712.480,703.550,708.400,711.530,712.230,703.350,708.050,711.930,712.730,703.750,708.750
7,2007-09-13T21:00:00.000000000Z,13157,708.400,717.400,704.120,707.550,708.050,717.200,703.920,706.300,708.750,717.600,704.320,708.800
8,2007-09-16T21:00:00.000000000Z,13377,707.850,720.200,706.600,717.770,706.600,720.000,705.350,717.420,709.100,720.400,707.850,718.120
9,2007-09-17T21:00:00.000000000Z,14147,717.820,727.300,711.930,723.600,717.470,727.000,711.730,723.100,718.170,727.600,712.130,724.100
10,2007-09-18T21:00:00.000000000Z,13850,723.600,726.550,719.850,721.500,723.100,726.200,719.650,721.150,724.100,726.900,720.050,721.850
11,2007-09-19T21:00:00.000000000Z,15601,721.500,738.630,721.150,733.900,721.150,738.430,720.700,733.550,721.850,738.830,721.500,734.250
12,2007-09-20T21:00:00.000000000Z,14060,733.900,739.550,726.800,731.550,733.550,739.350,726.600,730.300,734.250,739.750,727.000,732.800
