Ticker,Date/Time,Open,High,Low,Close,Volume,Rel_Vol_21,H_L_Range,ATR,ADX_21,PDI_21,MDI_21,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6
AMC,20.12.2013,19.18,19.79,18.81,19.68,17370752,,0.98,,,,,,,,,,
AMC,27.12.2013,19.79,20.59,19.35,20.14,2086504,,1.24,,,,,2.34,,,,,
AMC,03.01.2014,20.10,20.94,19.78,20.02,1286349,,1.16,,,,,-0.60,1.73,,,,
AMC,10.01.2014,20.05,20.17,19.81,20.04,2815169,,0.36,,,,,0.10,-0.50,1.83,,,
AMC,17.01.2014,19.90,20.49,19.75,20.24,1330934,,0.74,,,,,1.00,1.10,0.50,2.85,,
AMC,24.01.2014,20.40,21.61,20.32,21.37,1510407,,1.29,,,,,5.58,6.64,6.74,6.11,8.59,
AMC,31.01.2014,21.26,22.00,21.02,21.37,1260532,,0.98,,,,,0.00,5.58,6.64,6.74,6.11,8.59
AMC,07.02.2014,21.50,21.50,20.30,21.32,1247302,,1.20,,,,,-0.23,-0.23,5.34,6.39,6.49,5.86
AMC,14.02.2014,21.25,22.45,21.07,22.00,778446,,1.38,,,,,3.19,2.95,2.95,8.70,9.78,9.89
AMC,21.02.2014,22.10,22.64,21.63,22.31,878170,,1.01,,,,,1.41,4.64,4.40,4.40,10.23,11.33
AMC,28.02.2014,22.40,22.94,21.67,22.89,1746380,,1.27,,,,,2.60,4.05,7.36,7.11,7.11,13.09
AMC,07.03.2014,22.97,25.81,22.77,25.47,2784451,,3.04,,,,,11.27,14.16,15.77,19.47,19.19,19.19
AMC,14.03.2014,25.30,26.68,23.02,24.11,3528005,,3.66,,,,,-5.34,5.33,8.07,9.59,13.09,12.82
AMC,21.03.2014,24.17,25.43,22.82,23.06,4060776,,2.61,,,,,-4.36,-9.46,0.74,3.36,4.82,8.16
AMC,28.03.2014,23.00,24.21,22.30,23.90,1590891,,1.91,,,,,3.64,-0.87,-6.16,4.41,7.13,8.64
AMC,04.04.2014,23.99,25.14,22.59,23.02,3730999,,2.55,,,,,-3.68,-0.17,-4.52,-9.62,0.57,3.18
AMC,11.04.2014,23.01,24.18,21.91,23.60,1742129,,2.27,,,,,2.52,-1.26,2.34,-2.12,-7.34,3.10
AMC,17.04.2014,23.88,24.01,21.68,22.30,1127970,,2.33,,,,,-5.51,-3.13,-6.69,-3.30,-7.51,-12.45
AMC,25.04.2014,22.30,23.86,21.95,22.09,1279939,,1.91,,,,,-0.94,-6.40,-4.04,-7.57,-4.21,-8.38
AMC,02.05.2014,22.17,24.58,21.23,23.74,2017895,,3.35,,,,,7.47,6.46,0.59,3.13,-0.67,2.95
AMC,09.05.2014,23.57,23.68,20.99,21.14,1033109,,2.69,,,,,-10.95,-4.30,-5.20,-10.42,-8.17,-11.55
AMC,16.05.2014,21.18,21.78,21.00,21.27,918683,,0.78,1.76,,,,0.61,-10.40,-3.71,-4.62,-9.87,-7.60
AMC,23.05.2014,21.25,22.76,21.19,22.57,675677,,1.57,1.75,,28,7,6.11,6.76,-4.93,2.17,1.21,-4.36
