Ticker,Date/Time,Open,High,Low,Close,Volume,Rel_Vol_21,H_L_Range,ATR,ADX_21,PDI_21,MDI_21,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6
BTU,07.04.2017,30.03,32.50,26.00,27.57,8938291,,6.50,,,,,,,,,,
BTU,13.04.2017,28.00,28.47,23.28,23.82,6114377,,5.19,,,,,-13.60,,,,,
BTU,21.04.2017,23.95,25.95,22.61,25.69,7074179,,3.34,,,,,7.85,-6.82,,,,
BTU,28.04.2017,26.70,27.00,25.19,25.41,2641287,,1.81,,,,,-1.09,6.68,-7.83,,,
BTU,05.05.2017,25.74,26.83,23.63,23.96,9590866,,3.20,,,,,-5.71,-6.73,0.59,-13.09,,
BTU,12.05.2017,24.00,25.63,23.88,25.01,4147141,,1.75,,,,,4.38,-1.57,-2.65,5.00,-9.29,
BTU,19.05.2017,24.97,25.25,22.87,23.30,4135527,,2.38,,,,,-6.84,-2.75,-8.30,-9.30,-2.18,-15.49
BTU,26.05.2017,23.35,24.76,23.07,24.76,3501289,,1.69,,,,,6.27,-1.00,3.34,-2.56,-3.62,3.95
BTU,02.06.2017,24.84,24.93,22.80,23.40,3222849,,2.13,,,,,-5.49,0.43,-6.44,-2.34,-7.91,-8.91
BTU,09.06.2017,23.51,24.90,23.27,24.43,5067482,,1.63,,,,,4.40,-1.33,4.85,-2.32,1.96,-3.86
BTU,16.06.2017,24.43,26.18,22.59,23.46,14773869,,3.59,,,,,-3.97,0.26,-5.25,0.69,-6.20,-2.09
BTU,23.06.2017,23.48,23.81,22.58,23.01,10784956,,1.23,,,,,-1.92,-5.81,-1.67,-7.07,-1.24,-8.00
BTU,30.06.2017,22.90,24.60,22.76,24.45,5484917,,1.84,,,,,6.26,4.22,0.08,4.49,-1.25,4.94
BTU,07.07.2017,24.47,25.76,24.37,25.31,2937261,,1.39,,,,,3.52,10.00,7.89,3.60,8.16,2.22
BTU,14.07.2017,25.31,27.88,24.93,27.31,4596267,,2.95,,,,,7.90,11.70,18.69,16.41,11.79,16.71
BTU,21.07.2017,27.16,27.64,26.31,26.99,4824967,,1.33,,,,,-1.17,6.64,10.39,17.30,15.05,10.48
BTU,28.07.2017,27.24,27.92,26.61,27.40,4258401,,1.31,,,,,1.52,0.33,8.26,12.07,19.08,16.79
BTU,04.08.2017,27.40,30.95,27.20,28.22,9926667,,3.75,,,,,2.99,4.56,3.33,11.50,15.42,22.64
BTU,11.08.2017,28.25,29.59,27.71,28.25,4847879,,1.88,,,,,0.11,3.10,4.67,3.44,11.62,15.54
BTU,18.08.2017,28.48,28.79,26.73,27.21,8088998,,2.06,,,,,-3.68,-3.58,-0.69,0.82,-0.37,7.51
BTU,25.08.2017,27.29,28.16,27.00,27.88,6441816,,1.16,,,,,2.46,-1.31,-1.20,1.75,3.30,2.09
BTU,01.09.2017,27.88,30.56,27.75,30.10,6818279,,2.81,2.50,,,,7.96,10.62,6.55,6.66,9.85,11.52
BTU,08.09.2017,30.12,30.30,29.03,29.29,3949621,,1.27,2.44,,23,13,-2.69,5.06,7.64,3.68,3.79,6.90
BTU,15.09.2017,29.44,30.69,29.44,29.58,5918831,,1.25,2.39,,23,13,0.99,-1.73,6.10,8.71,4.71,4.82
BTU,22.09.2017,29.66,30.09,28.84,29.52,5359433,,1.25,2.34,,22,14,-0.20,0.79,-1.93,5.88,8.49,4.50
BTU,29.09.2017,29.64,30.25,28.62,29.01,4824375,,1.63,2.30,,21,14,-1.73,-1.93,-0.96,-3.62,4.05,6.62
BTU,06.10.2017,29.11,30.42,28.98,29.49,4091948,,1.44,2.26,,21,14,1.65,-0.10,-0.30,0.68,-2.03,5.77
BTU,13.10.2017,29.62,29.91,28.08,28.39,3272907,,1.83,2.24,,20,15,-3.73,-2.14,-3.83,-4.02,-3.07,-5.68
BTU,20.10.2017,28.46,30.06,28.46,29.96,5042422,,1.60,2.21,,20,14,5.53,1.59,3.27,1.49,1.28,2.29
BTU,27.10.2017,30.02,31.70,29.35,30.69,8025608,,2.35,2.22,,22,14,2.44,8.10,4.07,5.79,3.96,3.75
BTU,03.11.2017,30.61,32.07,30.26,31.55,5548660,,1.81,2.20,,22,13,2.80,5.31,11.13,6.99,8.76,6.88
BTU,10.11.2017,31.55,32.00,30.54,31.10,3629788,,1.46,2.16,,22,13,-1.43,1.34,3.81,9.55,5.46,7.20
BTU,17.11.2017,30.99,31.89,30.49,31.49,5538342,,1.40,2.13,,21,12,1.25,-0.19,2.61,5.11,10.92,6.78
BTU,24.11.2017,31.49,33.16,31.44,32.69,5819944,,1.72,2.11,,23,12,3.81,5.11,3.61,6.52,9.11,15.15
BTU,01.12.2017,32.66,34.37,31.84,33.90,6706938,,2.53,2.13,,24,11,3.70,7.65,9.00,7.45,10.46,13.15
BTU,08.12.2017,34.11,34.74,33.08,34.24,7358923,,1.66,2.11,,24,11,1.00,4.74,8.73,10.10,8.53,11.57
BTU,15.12.2017,34.43,36.58,34.43,35.50,6207713,,2.15,2.12,,27,10,3.68,4.72,8.60,12.73,14.15,12.52
BTU,22.12.2017,35.93,38.54,35.73,38.45,5508698,,2.81,2.16,,30,10,8.31,12.30,13.42,17.62,22.10,23.63
BTU,29.12.2017,38.63,39.86,38.45,39.37,2603014,,1.41,2.13,,32,9,2.39,10.90,14.98,16.14,20.43,25.02
BTU,05.01.2018,39.55,40.08,38.91,39.95,2905492,,1.17,2.08,,31,9,1.47,3.90,12.54,16.68,17.85,22.21
BTU,12.01.2018,39.80,40.92,39.20,40.61,5511315,,1.72,2.06,,32,9,1.65,3.15,5.62,14.39,18.60,19.79
BTU,19.01.2018,40.78,40.86,39.53,39.99,4124146,,1.33,2.03,,31,8,-1.53,0.10,1.57,4.01,12.65,16.79
BTU,26.01.2018,40.12,41.09,39.10,40.91,4543977,,1.99,2.03,,30,9,2.30,0.74,2.40,3.91,6.40,15.24
BTU,02.02.2018,40.83,41.17,39.53,40.05,4144398,,1.64,2.01,,29,9,-2.10,0.15,-1.38,0.25,1.73,4.16
BTU,09.02.2018,39.67,41.00,37.48,38.21,9809862,,3.52,2.08,36,26,13,-4.59,-6.60,-4.45,-5.91,-4.36,-2.95
BTU,16.02.2018,38.49,41.98,37.99,40.55,7193294,,3.99,2.17,36,26,12,6.12,1.25,-0.88,1.40,-0.15,1.50
BTU,23.02.2018,40.52,41.10,39.35,40.92,5416553,,1.75,2.15,36,25,11,0.91,7.09,2.17,0.02,2.33,0.76
BTU,02.03.2018,41.21,41.94,40.33,41.27,5445371,,1.61,2.13,37,26,11,0.86,1.78,8.01,3.05,0.88,3.20
BTU,09.03.2018,41.08,41.37,38.18,38.51,5900887,,3.19,2.18,36,24,15,-6.69,-5.89,-5.03,0.79,-3.85,-5.87
BTU,16.03.2018,38.50,40.46,38.18,40.14,6277949,,2.28,2.18,36,23,14,4.23,-2.74,-1.91,-1.01,5.05,0.22
BTU,23.03.2018,40.01,40.53,37.83,37.89,5556074,,2.70,2.21,35,22,14,-5.61,-1.61,-8.19,-7.40,-6.56,-0.84
BTU,29.03.2018,38.29,39.83,36.25,36.50,4545116,0.8,3.58,2.27,34,20,16,-3.67,-9.07,-5.22,-11.56,-10.80,-9.99
BTU,06.04.2018,36.30,38.04,35.56,35.87,4628729,0.8,2.48,2.28,32,19,17,-1.73,-5.33,-10.64,-6.86,-13.08,-12.34
BTU,13.04.2018,35.74,37.41,35.54,36.75,5746154,1.0,1.87,2.26,31,18,16,2.45,0.68,-3.01,-8.45,-4.57,-10.95
