Ticker,Date/Time,Open,High,Low,Close,Volume,Rel_Vol_21,H_L_Range,ATR,ADX_21,PDI_21,MDI_21,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6
FCEL,26.06.1992,212.48,215.39,209.57,209.57,13720,,5.82,,,,,,,,,,
FCEL,02.07.1992,209.57,215.39,209.57,212.48,5178,,5.82,,,,,1.39,,,,,
FCEL,10.07.1992,212.48,215.39,203.75,206.66,10021,,11.64,,,,,-2.74,-1.39,,,,
FCEL,17.07.1992,212.48,212.48,203.75,209.57,1802,,8.73,,,,,1.41,-1.37,0.00,,,
FCEL,24.07.1992,206.66,215.39,206.66,215.39,2866,,8.73,,,,,2.78,4.23,1.37,2.78,,
FCEL,31.07.1992,206.66,212.48,206.66,206.66,577,,5.82,,,,,-4.05,-1.39,0.00,-2.74,-1.39,
FCEL,07.08.1992,212.48,218.30,206.66,209.57,1930,,11.64,,,,,1.41,-2.70,0.00,1.41,-1.37,0.00
FCEL,14.08.1992,209.57,218.30,206.66,218.30,1780,,11.64,,,,,4.17,5.63,1.35,4.17,5.63,2.74
FCEL,21.08.1992,209.57,215.39,206.66,215.39,651,,8.73,,,,,-1.33,2.78,4.23,0.00,2.78,4.23
FCEL,28.08.1992,206.66,215.39,206.66,215.39,234,,8.73,,,,,0.00,-1.33,2.78,4.23,0.00,2.78
FCEL,04.09.1992,215.39,215.39,206.66,212.48,358,,8.73,,,,,-1.35,-1.35,-2.67,1.39,2.82,-1.35
FCEL,11.09.1992,206.66,215.39,206.66,206.66,861,,8.73,,,,,-2.74,-4.05,-4.05,-5.33,-1.39,0.00
FCEL,18.09.1992,209.57,215.39,200.84,203.75,1431,,14.55,,,,,-1.41,-4.11,-5.41,-5.41,-6.67,-2.78
FCEL,25.09.1992,203.75,209.57,200.84,203.75,4220,,8.73,,,,,0.00,-1.41,-4.11,-5.41,-5.41,-6.67
FCEL,02.10.1992,200.84,206.66,197.93,197.93,1269,,8.73,,,,,-2.86,-2.86,-4.23,-6.85,-8.11,-8.11
FCEL,09.10.1992,189.20,197.93,186.29,189.20,942,,11.64,,,,,-4.41,-7.14,-7.14,-8.45,-10.96,-12.16
FCEL,16.10.1992,189.20,200.84,183.38,186.29,1633,,17.46,,,,,-1.54,-5.88,-8.57,-8.57,-9.86,-12.33
FCEL,23.10.1992,189.20,192.11,183.38,189.20,1265,,8.73,,,,,1.56,0.00,-4.41,-7.14,-7.14,-8.45
FCEL,30.10.1992,186.29,215.39,186.29,209.57,4258,,29.11,,,,,10.77,12.50,10.77,5.88,2.86,2.86
FCEL,06.11.1992,212.48,221.22,209.57,218.30,3768,,11.64,,,,,4.17,15.38,17.19,15.38,10.29,7.14
FCEL,13.11.1992,218.30,250.32,218.30,241.59,10115,,32.02,,,,,10.67,15.28,27.69,29.69,27.69,22.06
FCEL,20.11.1992,244.50,244.50,227.04,244.50,3295,,17.46,12.32,,,,1.20,12.00,16.67,29.23,31.25,29.23
FCEL,27.11.1992,238.68,256.14,238.68,256.14,3142,,17.46,12.56,,30,9,4.76,6.02,17.33,22.22,35.38,37.50
FCEL,04.12.1992,256.14,285.25,250.32,285.25,2384,,34.93,13.63,,36,8,11.36,16.67,18.07,30.67,36.11,50.77
FCEL,11.12.1992,291.07,296.89,279.43,279.43,2931,,17.46,13.81,,38,8,-2.04,9.09,14.29,15.66,28.00,33.33
FCEL,18.12.1992,282.34,372.57,279.43,372.57,3724,,93.14,17.59,,49,6,33.33,30.61,45.45,52.38,54.22,70.67
FCEL,24.12.1992,378.39,401.68,343.47,343.47,2803,,58.21,19.52,,49,5,-7.81,22.92,20.41,34.09,40.48,42.17
FCEL,31.12.1992,360.93,372.57,337.64,372.57,1085,,34.93,20.26,,45,6,8.47,0.00,33.33,30.61,45.45,52.38
FCEL,08.01.1993,390.04,390.04,360.93,360.93,1251,,29.11,20.68,,46,6,-3.13,5.08,-3.13,29.17,26.53,40.91
FCEL,15.01.1993,378.39,378.39,355.11,355.11,856,,23.29,20.80,,44,7,-1.61,-4.69,3.39,-4.69,27.08,24.49
FCEL,22.01.1993,366.75,366.75,326.00,326.00,1102,,40.75,21.75,,40,12,-8.20,-9.68,-12.50,-5.08,-12.50,16.67
FCEL,28.01.1993,314.36,337.64,314.36,320.18,982,,23.29,21.82,,38,14,-1.79,-9.84,-11.29,-14.06,-6.78,-14.06
FCEL,05.02.1993,320.18,331.82,314.36,326.00,487,,17.46,21.62,,36,14,1.82,0.00,-8.20,-9.68,-12.50,-5.08
FCEL,11.02.1993,314.36,326.00,296.89,326.00,1904,,29.11,21.97,,34,17,0.00,1.82,0.00,-8.20,-9.68,-12.50
FCEL,19.02.1993,314.36,331.82,311.45,326.00,1076,,20.38,21.90,,34,16,0.00,0.00,1.82,0.00,-8.20,-9.68
FCEL,26.02.1993,326.00,326.00,308.54,314.36,886,,17.46,21.69,,32,16,-3.57,-3.57,-3.57,-1.82,-3.57,-11.48
FCEL,05.03.1993,305.63,320.18,296.89,308.54,1101,,23.29,21.76,,31,18,-1.85,-5.36,-5.36,-5.36,-3.64,-5.36
FCEL,12.03.1993,308.54,314.36,296.89,302.72,2247,,17.46,21.56,,30,17,-1.89,-3.70,-7.14,-7.14,-7.14,-5.45
FCEL,19.03.1993,314.36,314.36,282.34,291.07,3806,,32.02,22.06,,28,19,-3.85,-5.66,-7.41,-10.71,-10.71,-10.71
FCEL,26.03.1993,302.72,302.72,285.25,296.89,550,,17.46,21.84,,26,18,2.00,-1.92,-3.77,-5.56,-8.93,-8.93
FCEL,02.04.1993,296.89,296.89,285.25,296.89,1062,,11.64,21.35,,26,18,0.00,2.00,-1.92,-3.77,-5.56,-8.93
FCEL,08.04.1993,296.89,296.89,279.43,279.43,981,,17.46,21.17,,25,18,-5.88,-5.88,-4.00,-7.69,-9.43,-11.11
FCEL,16.04.1993,273.61,273.61,221.22,229.95,1986,,52.39,22.93,,22,28,-17.71,-22.55,-22.55,-21.00,-24.04,-25.47
FCEL,23.04.1993,238.68,238.68,209.57,209.57,1535,,29.11,23.22,,20,29,-8.86,-25.00,-29.41,-29.41,-28.00,-30.77
FCEL,30.04.1993,221.22,221.22,192.11,200.84,1100,,29.11,23.50,43,19,31,-4.17,-12.66,-28.12,-32.35,-32.35,-31.00
FCEL,07.05.1993,209.57,209.57,197.93,203.75,659,,11.64,22.94,42,19,30,1.45,-2.78,-11.39,-27.08,-31.37,-31.37
FCEL,14.05.1993,209.57,209.57,197.93,203.75,260,,11.64,22.40,41,18,29,0.00,1.45,-2.78,-11.39,-27.08,-31.37
FCEL,21.05.1993,209.57,209.57,197.93,209.57,466,,11.64,21.89,40,18,29,2.86,2.86,4.35,0.00,-8.86,-25.00
FCEL,28.05.1993,209.57,232.86,197.93,227.04,2742,,34.93,22.51,39,21,26,8.33,11.43,11.43,13.04,8.33,-1.27
FCEL,04.06.1993,221.22,238.68,215.39,232.86,1931,,23.29,22.55,37,22,25,2.56,11.11,14.29,14.29,15.94,11.11
FCEL,11.06.1993,238.68,250.32,227.04,244.50,2059,,23.29,22.58,35,23,24,5.00,7.69,16.67,20.00,20.00,21.74
FCEL,18.06.1993,244.50,244.50,232.86,232.86,753,0.3,11.64,22.06,34,22,23,-4.76,0.00,2.56,11.11,14.29,14.29
FCEL,25.06.1993,244.50,244.50,221.22,232.86,512,0.2,23.29,22.12,33,21,25,0.00,-4.76,0.00,2.56,11.11,14.29
FCEL,02.07.1993,227.04,232.86,215.39,232.86,170,0.1,17.46,21.90,32,21,25,0.00,0.00,-4.76,0.00,2.56,11.11
FCEL,08.07.1993,232.86,232.86,215.39,227.04,81,0.0,17.46,21.69,30,20,24,-2.50,-2.50,-2.50,-7.14,-2.50,0.00
FCEL,16.07.1993,215.39,232.86,215.39,215.39,694,0.4,17.46,21.49,29,19,23,-5.13,-7.50,-7.50,-7.50,-11.90,-7.50
FCEL,23.07.1993,227.04,227.04,203.75,215.39,1325,0.8,23.29,21.57,29,18,24,0.00,-5.13,-7.50,-7.50,-7.50,-11.90
FCEL,30.07.1993,218.30,227.04,212.48,215.39,290,0.2,14.55,21.24,28,17,24,0.00,0.00,-5.13,-7.50,-7.50,-7.50
FCEL,06.08.1993,227.04,227.04,215.39,227.04,697,0.4,11.64,20.78,28,17,23,5.41,5.41,5.41,0.00,-2.50,-2.50
FCEL,13.08.1993,221.22,227.04,186.29,215.39,2942,1.7,40.75,21.73,28,15,27,-5.13,0.00,0.00,0.00,-5.13,-7.50
FCEL,20.08.1993,215.39,227.04,209.57,227.04,629,0.4,17.46,21.53,28,15,26,5.41,0.00,5.41,5.41,5.41,0.00
FCEL,27.08.1993,227.04,244.50,215.39,244.50,487,0.3,29.11,21.89,27,18,25,7.69,13.51,7.69,13.51,13.51,13.51
FCEL,03.09.1993,250.32,273.61,244.50,273.61,1122,0.6,29.11,22.23,26,23,23,11.90,20.51,27.03,20.51,27.03,27.03
FCEL,10.09.1993,261.97,261.97,250.32,259.05,772,0.4,11.64,22.28,25,22,22,-5.32,5.95,14.10,20.27,14.10,20.27
FCEL,17.09.1993,256.14,256.14,244.50,253.23,1032,0.6,11.64,21.92,24,21,23,-2.25,-7.45,3.57,11.54,17.57,11.54
