Ticker,Date/Time,Open,High,Low,Close,Volume,Rel_Vol_21,H_L_Range,ATR,ADX_21,PDI_21,MDI_21,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6
GME,15.02.2002,9.63,10.19,9.52,9.95,23952800,,0.67,,,,,,,,,,
GME,22.02.2002,9.90,9.93,9.38,9.68,6201400,,0.55,,,,,-2.76,,,,,
GME,01.03.2002,9.65,9.85,9.49,9.69,3742800,,0.36,,,,,0.10,-2.66,,,,
GME,08.03.2002,9.73,10.50,9.58,10.45,3061000,,0.92,,,,,7.90,8.01,5.03,,,
GME,15.03.2002,10.40,10.95,9.95,10.18,4937400,,1.00,,,,,-2.63,5.06,5.17,2.26,,
GME,22.03.2002,10.20,10.20,8.50,9.65,5460000,,1.70,,,,,-5.16,-7.66,-0.36,-0.26,-3.02,
GME,28.03.2002,9.75,10.50,9.59,10.10,3118000,,0.91,,,,,4.66,-0.74,-3.35,4.28,4.39,1.51
GME,05.04.2002,10.02,10.02,9.18,9.25,1536600,,0.85,,,,,-8.47,-4.20,-9.14,-11.53,-4.54,-4.44
GME,12.04.2002,9.30,9.60,8.89,9.13,2275800,,0.72,,,,,-1.30,-9.65,-5.44,-10.32,-12.68,-5.78
GME,19.04.2002,9.10,10.18,9.10,10.14,1941200,,1.08,,,,,11.07,9.63,0.35,5.03,-0.39,-3.01
GME,26.04.2002,10.07,10.13,9.59,9.63,1510800,,0.54,,,,,-5.03,5.48,4.11,-4.70,-0.26,-5.41
GME,03.05.2002,9.57,10.50,9.35,10.40,3727000,,1.15,,,,,8.05,2.61,13.97,12.49,2.97,7.77
GME,10.05.2002,10.39,11.71,10.39,11.03,1200200,,1.32,,,,,6.06,14.60,8.83,20.88,19.31,9.21
GME,17.05.2002,11.04,11.20,9.93,10.61,5338800,,1.27,,,,,-3.76,2.07,10.29,4.74,16.33,14.82
GME,24.05.2002,10.61,11.85,10.15,11.73,3106200,,1.70,,,,,10.50,6.35,12.79,21.87,15.74,28.55
GME,31.05.2002,11.77,12.15,11.57,12.10,3365000,,0.58,,,,,3.11,13.94,9.66,16.30,25.66,19.34
GME,07.06.2002,12.10,12.10,11.28,11.48,2164600,,0.82,,,,,-5.13,-2.17,8.10,4.03,10.34,19.22
GME,14.06.2002,11.48,11.65,10.68,11.25,931400,,0.97,,,,,-1.92,-6.95,-4.05,6.03,2.04,8.22
GME,21.06.2002,11.30,11.73,10.45,10.50,907000,,1.28,,,,,-6.71,-8.50,-13.19,-10.49,-1.08,-4.81
GME,28.06.2002,10.50,10.66,9.18,10.50,2501200,,1.48,,,,,-0.05,-6.75,-8.54,-13.23,-10.53,-1.13
GME,05.07.2002,10.45,10.50,8.63,9.50,1351800,,1.87,,,,,-9.43,-9.48,-15.55,-17.17,-21.41,-18.97
GME,12.07.2002,9.55,10.21,8.79,8.85,2309000,,1.43,1.06,,,,-6.94,-15.72,-15.76,-21.41,-22.92,-26.87
GME,19.07.2002,8.84,8.84,7.15,7.89,2890000,,1.68,1.09,,19,31,-10.80,-16.99,-24.82,-24.86,-29.90,-31.24
GME,26.07.2002,7.86,8.85,7.49,8.77,1637400,,1.36,1.10,,18,29,11.15,-0.85,-7.73,-16.44,-16.48,-22.08
GME,02.08.2002,8.78,9.20,7.43,7.55,1135200,,1.77,1.13,,18,27,-13.91,-4.31,-14.64,-20.57,-28.06,-28.10
